operacao,ocupacao
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,15
17,14
18,13
19,12
20,11
21,10
22,9
23,8
24,7
25,6
26,5
27,4
28,3
29,2
30,1
31,0
32,1
33,2
34,1
35,0
36,1
37,2
38,3
39,4
40,5
41,6
42,7
43,8
44,9
45,10
46,11
47,12
48,13
49,14
50,15
51,16
52,17
53,18
54,19
55,20
56,21
57,22
58,21
59,22
60,21
61,20
62,19
63,18
64,19
65,20
66,21
67,22
68,21
69,20
70,19
71,18
72,17
73,18
74,19
75,18
76,17
77,18
78,19
79,18
80,19
81,18
82,19
83,20
84,21
85,20
86,19
87,18
88,17
89,18
90,19
91,18
92,17
93,16
94,17
95,18
96,17
97,16
98,15
99,16
100,15
101,14
102,13
103,12
104,11
105,10
106,9
107,8
108,9
109,8
110,7
111,6
112,7
113,6
114,5
115,4
116,3
117,2
118,3
119,4
120,3
121,2
122,1
123,0
124,1
125,2
126,3
127,2
128,1
129,0
130,1
131,0
132,1
133,2
134,1
135,0
136,1
137,0
138,1
139,0
140,1
141,0
142,1
143,0
144,1
145,0
146,1
147,0
148,1
149,2
150,1
151,2
152,1
153,0
154,1
155,2
156,3
157,4
158,5
159,4
160,3
161,4
162,3
163,2
164,1
165,0
166,1
167,2
168,1
169,0
170,1
171,2
172,1
173,0
174,1
175,2
176,1
177,0
178,1
179,0
180,1
181,0
182,1
183,0
184,1
185,2
186,1
187,0
188,1
189,2
190,1
191,2
192,1
193,0
194,1
195,0
196,1
197,0
198,1
199,2
200,1
201,0
202,1
203,0
204,1
205,0
206,1
207,0
208,1
209,0
210,1
211,2
212,3
213,4
214,5
215,4
216,5
217,4
218,5
219,4
220,3
221,4
222,3
223,2
224,3
225,2
226,3
227,2
228,1
229,2
230,1
231,0
232,1
233,0
234,1
235,2
236,1
237,0
238,1
239,0
240,1
241,0
242,1
243,0
244,1
245,0
246,1
247,2
248,1
249,0
250,1
251,0
252,1
253,2
254,1
255,0
256,1
257,0
258,1
259,2
260,1
261,0
262,1
263,0
264,1
265,0
266,1
267,0
268,1
269,2
270,3
271,4
272,3
273,2
274,1
275,0
276,1
277,2
278,1
279,0
280,1
281,0
282,1
283,0
284,1
285,0
286,1
287,2
288,1
289,0
290,1
291,0
292,1
293,2
294,1
295,0
296,1
297,2
298,1
299,0
300,1
301,2
302,1
303,0
304,1
305,0
306,1
307,0
308,1
309,0
310,1
311,0
312,1
313,0
314,1
315,2
316,3
317,4
318,3
319,4
320,3
321,2
322,1
323,0
324,1
325,0
326,1
327,0
328,1
329,0
330,1
331,2
332,1
333,0
334,1
335,2
336,1
337,2
338,1
339,0
340,1
341,2
342,3
343,2
344,3
345,2
346,1
347,0
348,1
349,0
350,1
351,0
352,1
353,0
354,1
355,2
356,1
357,0
358,1
359,0
360,1
361,0
362,1
363,2
364,1
365,0
366,1
367,0
368,1
369,2
370,1
371,0
372,1
373,0
374,1
375,0
376,1
377,0
378,1
379,0
380,1
381,2
382,1
383,0
384,1
385,0
386,1
387,2
388,1
389,0
390,1
391,0
392,1
393,2
394,1
395,0
396,1
397,0
398,1
399,0
400,1
401,0
402,1
403,2
404,1
405,0
406,1
407,0
408,1
409,2
410,1
411,0
412,1
413,0
414,1
415,2
416,1
417,0
418,1
419,2
420,1
421,0
422,1
423,0
424,1
425,2
426,3
427,4
428,3
429,2
430,1
431,0
432,1
433,2
434,1
435,0
436,1
437,0
438,1
439,0
440,1
441,0
442,1
443,0
444,1
445,0
446,1
447,0
448,1
449,0
450,1
451,0
452,1
453,0
454,1
455,2
456,1
457,0
458,1
459,2
460,1
461,0
462,1
463,2
464,1
465,0
466,1
467,0
468,1
469,2
470,1
471,0
472,1
473,0
474,1
475,2
476,1
477,0
478,1
479,0
480,1
481,0
482,1
483,2
484,1
485,0
486,1
487,0
488,1
489,2
490,1
491,0
492,1
493,0
494,1
495,0
496,1
497,2
498,1
499,0
500,1
501,2
502,1
503,0
504,1
505,0
506,1
507,2
508,1
509,0
510,1
511,0
512,1
513,0
514,1
515,0
516,1
517,2
518,1
519,0
520,1
521,0
522,1
523,0
524,1
525,0
526,1
527,2
528,1
529,0
530,1
531,0
532,1
533,0
534,1
535,0
536,1
537,0
538,1
539,0
540,1
541,2
542,3
543,4
544,3
545,2
546,1
547,0
548,1
549,0
550,1
551,0
552,1
553,0
554,1
555,0
556,1
557,2
558,1
559,0
560,1
561,0
562,1
563,0
564,1
565,0
566,1
567,2
568,1
569,0
570,1
571,0
572,1
573,0
574,1
575,0
576,1
577,0
578,1
579,2
580,1
581,0
582,1
583,2
584,3
585,2
586,1
587,0
588,1
589,2
590,1
591,2
592,1
593,2
594,1
595,0
596,1
597,0
598,1
599,0
600,1
601,2
602,3
603,4
604,3
605,2
606,1
607,2
608,1
609,0
610,1
611,0
612,1
613,0
614,1
615,2
616,1
617,0
618,1
619,2
620,1
621,2
622,3
623,2
624,1
625,2
626,3
627,2
628,1
629,2
630,1
631,0
632,1
633,0
634,1
635,0
636,1
637,0
638,1
639,2
640,3
641,4
642,5
643,6
644,7
645,8
646,9
647,10
648,9
649,10
650,9
651,8
652,7
653,8
654,9
655,8
656,7
657,6
658,5
659,4
660,3
661,2
662,1
663,0
664,1
665,2
666,3
667,2
668,1
669,0
670,1
671,2
672,1
673,0
674,1
675,0
676,1
677,0
678,1
679,0
680,1
681,0
682,1
683,0
684,1
685,0
686,1
687,0
688,1
689,0
690,1
691,2
692,1
693,0
694,1
695,0
696,1
697,2
698,1
699,0
700,1
701,0
702,1
703,0
704,1
705,0
706,1
707,0
708,1
709,0
710,1
711,2
712,3
713,4
714,5
715,6
716,7
717,8
718,9
719,8
720,9
721,8
722,7
723,6
724,5
725,4
726,3
727,4
728,5
729,4
730,3
731,2
732,1
733,0
734,1
735,2
736,3
737,2
738,1
739,0
740,1
741,2
742,1
743,0
744,1
745,0
746,1
747,2
748,1
749,2
750,1
751,2
752,1
753,0
754,1
755,2
756,1
757,0
758,1
759,0
760,1
761,2
762,1
763,2
764,1
765,0
766,1
767,0
768,1
769,0
770,1
771,0
772,1
773,0
774,1
775,0
776,1
777,0
778,1
779,2
780,3
781,4
782,5
783,6
784,7
785,6
786,7
787,6
788,5
789,4
790,5
791,4
792,5
793,6
794,5
795,4
796,3
797,2
798,1
799,0
800,1
801,2
802,1
803,0
804,1
805,2
806,1
807,0
808,1
809,0
810,1
811,0
812,1
813,0
814,1
815,0
816,1
817,2
818,1
819,0
820,1
821,0
822,1
823,2
824,1
825,0
826,1
827,2
828,1
829,0
830,1
831,0
832,1
833,2
834,1
835,0
836,1
837,2
838,1
839,0
840,1
841,0
842,1
843,0
844,1
845,2
846,3
847,2
848,3
849,4
850,3
851,2
852,1
853,0
854,1
855,0
856,1
857,0
858,1
859,0
860,1
861,0
862,1
863,0
864,1
865,2
866,1
867,0
868,1
869,0
870,1
871,0
872,1
873,0
874,1
875,2
876,1
877,0
878,1
879,2
880,1
881,0
882,1
883,2
884,1
885,0
886,1
887,2
888,1
889,0
890,1
891,2
892,1
893,0
894,1
895,0
896,1
897,0
898,1
899,0
900,1
901,0
902,1
903,0
904,1
905,2
906,1
907,0
908,1
909,0
910,1
911,2
912,1
913,0
914,1
915,0
916,1
917,2
918,1
919,0
920,1
921,0
922,1
923,0
924,1
925,0
926,1
927,2
928,1
929,0
930,1
931,2
932,1
933,2
934,1
935,0
936,1
937,0
938,1
939,0
940,1
941,0
942,1
943,2
944,1
945,0
946,1
947,2
948,3
949,4
950,5
951,6
952,7
953,6
954,5
955,4
956,3
957,2
958,3
959,2
960,1
961,2
