operacao,ocupacao
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
85,86
86,87
87,88
88,89
89,90
90,91
91,92
92,93
93,94
94,95
95,96
96,97
97,98
98,99
99,100
100,99
101,98
102,97
103,96
104,95
105,94
106,93
107,92
108,91
109,90
110,89
111,88
112,87
113,86
114,85
115,84
116,83
117,82
118,81
119,80
120,79
121,78
122,77
123,76
124,75
125,74
126,73
127,72
128,71
129,70
130,71
131,72
132,73
133,74
134,75
135,76
136,77
137,78
138,79
139,80
140,81
141,82
142,83
143,84
144,85
145,86
146,87
147,88
148,89
149,90
150,91
151,92
152,93
153,94
154,95
155,96
156,97
157,98
158,99
159,100
160,99
161,98
162,97
163,96
164,95
165,94
166,93
167,92
168,91
169,90
170,89
171,88
172,87
173,88
174,89
175,88
176,89
177,90
178,89
179,90
180,91
181,92
182,93
183,94
184,95
185,96
186,97
187,98
188,97
189,98
190,97
191,98
192,97
193,98
194,97
195,98
196,97
197,98
198,97
199,98
200,97
201,98
202,97
203,98
204,97
205,98
206,97
207,98
208,97
209,96
210,95
211,94
212,93
213,92
214,93
215,92
216,91
217,92
218,91
219,92
220,91
221,92
222,91
223,92
224,93
225,94
226,93
227,94
228,95
229,94
230,93
231,92
232,91
233,92
234,93
235,94
236,93
237,94
238,93
239,94
240,95
241,94
242,95
243,96
244,95
245,96
246,97
247,98
248,97
249,98
250,99
251,100
252,99
253,98
254,97
255,96
256,95
257,94
258,93
259,92
260,91
261,90
262,89
263,88
264,87
265,88
266,87
267,88
268,87
269,88
270,87
271,88
272,89
273,90
274,91
275,90
276,91
277,92
278,93
279,94
280,93
281,94
282,95
283,96
284,97
285,98
286,99
287,98
288,99
289,100
290,99
291,100
292,99
293,100
294,99
295,100
296,99
297,100
298,99
299,100
300,99
301,100
302,99
303,98
304,99
305,100
306,99
307,100
308,99
309,98
310,99
311,100
312,99
313,100
314,99
315,98
316,99
317,100
318,99
319,100
320,99
321,98
322,99
323,100
324,99
325,100
326,99
327,100
328,99
329,98
330,99
331,100
332,99
333,100
334,99
335,100
336,99
337,100
338,99
339,100
340,99
341,100
342,99
343,100
344,99
345,100
346,99
347,98
348,97
349,96
350,95
351,94
352,95
353,96
354,97
355,98
356,99
357,98
358,99
359,100
360,99
361,100
362,99
363,98
364,99
365,100
366,99
367,100
368,99
369,98
370,99
371,100
372,99
373,98
374,97
375,98
376,99
377,100
378,99
379,98
380,99
381,100
382,99
383,100
384,99
385,98
386,99
387,100
388,99
389,100
390,99
391,100
392,99
393,100
394,99
395,98
396,97
397,96
398,97
399,98
400,99
401,100
402,99
403,98
404,99
405,100
406,99
407,100
408,99
409,100
410,99
411,98
412,97
413,96
414,97
415,98
416,99
417,98
418,99
419,100
420,99
421,98
422,99
423,100
424,99
425,100
426,99
427,100
428,99
429,100
430,99
431,100
432,99
433,100
434,99
435,100
436,99
437,100
438,99
439,100
440,99
441,100
442,99
443,100
444,99
445,100
446,99
447,98
448,99
449,100
450,99
451,100
452,99
453,100
454,99
455,98
456,99
457,100
458,99
459,100
460,99
461,100
462,99
463,98
464,97
465,96
466,95
467,94
468,93
469,92
470,91
471,90
472,89
473,88
474,89
475,88
476,89
477,90
478,91
479,92
480,93
481,94
482,95
483,94
484,95
485,96
486,97
487,98
488,99
489,100
490,99
491,100
492,99
493,100
494,99
495,100
496,99
497,100
498,99
499,100
500,99
501,100
502,99
503,98
504,99
505,100
506,99
507,100
508,99
509,98
510,99
511,100
512,99
513,98
514,99
515,100
516,99
517,100
518,99
519,100
520,99
521,100
522,99
523,98
524,97
525,96
526,97
527,96
528,97
529,98
530,99
531,100
532,99
533,98
534,99
535,100
536,99
537,98
538,99
539,100
540,99
541,98
542,97
543,96
544,95
545,94
546,93
547,92
548,91
549,92
550,91
551,92
552,91
553,92
554,93
555,94
556,95
557,96
558,95
559,96
560,97
561,96
562,97
563,96
564,97
565,98
566,99
567,98
568,97
569,98
570,97
571,96
572,95
573,94
574,93
575,92
576,91
577,90
578,89
579,88
580,87
581,86
582,85
583,84
584,83
585,82
586,81
587,80
588,79
589,78
590,77
591,76
592,75
593,74
594,73
595,72
596,71
597,70
598,69
599,68
600,67
601,66
602,65
603,64
604,63
605,62
606,61
607,60
608,59
609,58
610,57
611,56
612,55
613,54
614,55
615,54
616,53
617,54
618,55
619,56
620,55
621,56
622,55
623,56
624,55
625,56
626,55
627,56
628,55
629,56
630,55
631,56
632,55
633,56
634,55
635,56
636,55
637,56
638,55
639,56
640,55
641,56
642,55
643,56
644,55
645,56
646,55
647,56
648,55
649,56
650,55
651,56
652,55
653,56
654,57
655,58
656,59
657,58
658,59
659,58
660,59
661,58
662,59
663,58
664,59
665,60
666,61
667,62
668,61
669,60
670,61
671,62
672,63
673,64
674,65
675,66
676,65
677,66
678,65
679,66
680,67
681,66
682,67
683,68
684,69
685,70
686,71
687,72
688,73
689,74
690,75
691,76
692,77
693,78
694,79
695,80
696,81
697,82
698,83
699,84
700,85
701,86
702,87
703,88
704,89
705,90
706,91
707,92
708,93
709,94
710,95
711,96
712,97
713,98
714,99
715,100
716,99
717,98
718,99
719,100
720,99
721,98
722,97
723,98
724,97
725,98
726,99
727,100
728,99
729,98
730,99
731,100
732,99
733,98
734,99
735,100
736,99
737,100
738,99
739,100
740,99
741,98
742,99
743,100
744,99
745,98
746,99
747,100
748,99
749,98
750,99
751,100
752,99
753,100
754,99
755,100
756,99
757,100
758,99
759,98
760,97
761,96
762,95
763,96
764,97
765,98
766,99
767,100
768,99
769,98
770,99
771,98
772,99
773,98
774,99
775,100
776,99
777,100
778,99
779,98
780,99
781,100
782,99
783,100
784,99
785,100
786,99
787,100
788,99
789,100
790,99
791,98
792,99
793,100
794,99
795,100
796,99
797,100
798,99
799,100
800,99
801,98
802,97
803,96
804,97
805,98
806,99
807,100
808,99
809,98
810,99
811,100
812,99
813,100
814,99
815,100
816,99
817,98
818,97
819,96
820,95
821,96
822,95
823,96
824,97
825,98
826,99
827,100
828,99
829,100
830,99
831,100
832,99
833,100
834,99
835,98
836,97
837,98
838,99
839,100
840,99
841,100
842,99
843,98
844,97
845,98
846,99
847,100
848,99
849,98
850,97
851,96
852,95
853,94
854,95
855,96
856,97
857,96
858,97
859,98
860,99
861,100
862,99
863,98
864,97
865,96
866,95
867,94
868,93
869,92
870,91
871,90
872,89
873,88
874,87
875,88
876,89
877,90
878,91
879,92
880,93
881,92
882,93
883,94
884,95
885,96
886,97
887,98
888,99
889,98
890,97
891,98
892,97
893,98
894,97
895,98
896,99
897,100
898,99
899,98
900,99
901,100
902,99
903,100
904,99
905,98
906,97
907,96
908,95
909,94
910,93
911,92
912,91
913,92
914,93
915,94
916,95
917,96
918,97
919,98
920,99
921,100
922,99
923,98
924,99
925,100
926,99
927,100
928,99
929,100
930,99
931,98
932,99
933,98
934,99
935,100
936,99
937,98
938,99
939,100
940,99
941,100
942,99
943,100
944,99
945,100
946,99
947,98
948,99
949,100
950,99
951,98
952,97
953,96
954,95
955,94
956,93
957,94
958,95
959,96
960,97
961,98
